discounted_reward,final_state_type,i_run,n_steps,policy_key,undiscounted_reward
-9.810784167549107,nonterminal,6,300,POMCPOW_analyticValueEstimate,-30.40000000000002
-1.618828669328133,success,6,85,MostLikelyStateController,1.200000000000001
-9.67676543983896,nonterminal,7,300,DESPOT_defaultPolicy,-30.400000000000023
-3.0760598895861135,success,7,102,DESPOT_analyticBounds,-0.6999999999999975
-8.841760666360381,success,7,268,POMCPOW_rolloutEstimate,-17.200000000000017
-2.292362600591903,success,7,91,POMCPOW_analyticValueEstimate,0.4000000000000039
-9.585825330721852,nonterminal,7,300,MostLikelyStateController,-30.100000000000023
2.9010797805459223,success,8,43,DESPOT_defaultPolicy,5.500000000000002
-9.500325550311508,success,8,287,DESPOT_analyticBounds,-20.90000000000002
-0.8182871716381204,success,8,75,POMCPOW_rolloutEstimate,2.100000000000003
1.1925514662652992,success,8,57,POMCPOW_analyticValueEstimate,4.100000000000001
3.201154866486689,success,8,40,MostLikelyStateController,5.700000000000001
-5.91317577087618,success,9,151,DESPOT_defaultPolicy,-5.599999999999996
-1.6438523180949591,success,9,84,DESPOT_analyticBounds,1.200000000000001
-1.4818636279677992,success,9,81,POMCPOW_rolloutEstimate,1.4000000000000057
-0.6295312110838482,success,9,73,POMCPOW_analyticValueEstimate,2.3000000000000025
4.701732998322816,success,9,30,MostLikelyStateController,6.8
-0.36078529876895793,success,10,70,DESPOT_defaultPolicy,2.6000000000000014
-4.8908816162579,success,10,125,DESPOT_analyticBounds,-3.4999999999999947
-3.656860215030989,success,10,108,POMCPOW_rolloutEstimate,-1.4999999999999947
-2.0982541206273373,success,10,89,POMCPOW_analyticValueEstimate,0.6000000000000014
-9.690915278625535,nonterminal,10,300,MostLikelyStateController,-30.200000000000024
-6.314937483126398,success,11,162,DESPOT_defaultPolicy,-6.699999999999999
-4.142093195232536,success,11,116,DESPOT_analyticBounds,-2.1999999999999993
0.9546695432477081,success,11,59,POMCPOW_rolloutEstimate,3.900000000000003
-2.5991505769639867,success,11,94,POMCPOW_analyticValueEstimate,3552713678800501e-30
-0.5529291918730221,success,11,72,MostLikelyStateController,2.4000000000000012
-9.766098962480022,nonterminal,12,300,DESPOT_defaultPolicy,-30.300000000000022
-0.9095956719488019,success,12,75,DESPOT_analyticBounds,2.0000000000000036
0.33492543593073076,success,12,64,POMCPOW_rolloutEstimate,3.3000000000000043
-1.8072317848264685,success,12,85,POMCPOW_analyticValueEstimate,1
-9.60959105928714,nonterminal,12,300,MostLikelyStateController,-30.100000000000023
9.019800998000001,success,13,5,DESPOT_defaultPolicy,9.4
6.937803697149148,success,13,16,DESPOT_analyticBounds,8.200000000000001
-5.328366889130106,success,13,141,POMCPOW_rolloutEstimate,-4.499999999999995
-4.629945326534674,success,13,126,POMCPOW_analyticValueEstimate,-3.099999999999996
-10.238072906037928,failure,13,30,MostLikelyStateController,-13.2
1.1885699836218873,success,14,57,DESPOT_defaultPolicy,4.100000000000002
-1.719546699640956,success,14,85,DESPOT_analyticBounds,1.1000000000000014
-4.4073814093781625,success,14,120,POMCPOW_rolloutEstimate,-2.7999999999999954
-1.0271881612094909,success,14,78,POMCPOW_analyticValueEstimate,1.900000000000004
-9.571943598776262,nonterminal,14,300,MostLikelyStateController,-30.100000000000023
5.937512785790918,success,15,22,DESPOT_defaultPolicy,7.6000000000000005
-5.291383744830084,success,15,137,DESPOT_analyticBounds,-4.299999999999995
-2.654085420874563,success,15,96,POMCPOW_rolloutEstimate,-0.09999999999999609
3.7003432302099464,success,15,37,POMCPOW_analyticValueEstimate,6.1000000000000005
-6.43083410266236,success,15,161,MostLikelyStateController,-6.900000000000006
-4.648646924452595,success,16,127,DESPOT_defaultPolicy,-3.0999999999999943
-3.0441447966903206,success,16,102,DESPOT_analyticBounds,-0.5999999999999996
2.8859929663680477,success,16,43,POMCPOW_rolloutEstimate,5.500000000000002
-6.0646774124151905,success,16,156,POMCPOW_analyticValueEstimate,-6.199999999999994
-9.783569578840574,nonterminal,16,300,MostLikelyStateController,-30.400000000000023
-1.3898612245624857,success,17,82,DESPOT_defaultPolicy,1.5000000000000009
-4.9994618683497345,success,17,127,DESPOT_analyticBounds,-3.699999999999994
-0.8520044402645883,success,17,76,POMCPOW_rolloutEstimate,2.100000000000003
-1.352275294482073,success,17,81,POMCPOW_analyticValueEstimate,1.5000000000000053
-1.8747559911223295,success,17,86,MostLikelyStateController,0.9000000000000004
8.270344949672817,success,18,9,DESPOT_defaultPolicy,9
-4.052051142906471,success,18,116,DESPOT_analyticBounds,-2.0999999999999996
7.2778863553795645,success,18,14,POMCPOW_rolloutEstimate,8.4
-2.5898126910945862,success,18,94,POMCPOW_analyticValueEstimate,5329070518200751e-30
5.150794685942074,success,18,27,MostLikelyStateController,7.1
4.112064545445846,success,19,34,DESPOT_defaultPolicy,6.4
-10.154008629161028,failure,19,27,DESPOT_analyticBounds,-12.8
3.207455134054781,success,19,40,POMCPOW_rolloutEstimate,5.700000000000001
2.4115880427877516,success,19,46,POMCPOW_analyticValueEstimate,5.100000000000003
